# Pathway	SGP033296	SGP033297	SGP033298	SGP033299	SGP033300	SGP033301	SGP033302	SGP033303	SGP033304	SGP033305	SGP033306	SGP033307	SGP033308	SGP033309	SGP033310	SGP033311	SGP033312	SGP033313	SGP033314	SGP033315	SGP033316	SGP033317	SGP033318	SGP033319	SGP033320	SGP033321	SGP033322	SGP033323	SGP033324	SGP033325	SGP033326	SGP033327	SGP033328	SGP033329	SGP033330	SGP033331	SGP033332	SGP033333	SGP033334	SGP033335	SGP033336	SGP033337	SGP033338	SGP033339	SGP033340	SGP033341	SGP033342	SGP033343	SGP033344	SGP033345	SGP033346	SGP033347	SGP033348	SGP033349	SGP033350	SGP033351	SGP033352	SGP033353	SGP033354	SGP033355	SGP033356	SGP033357	SGP033358	SGP033359	SGP033360	SGP033361	SGP039575	SGP039576	SGP039577	SGP039578	SGP039579	SGP039580	SGP039581	SGP039582	SGP039583	SGP039584	SGP039585	SGP039586	SGP039587	SGP039588	SGP039589	SGP039590	SGP039591	SGP039592	SGP039593	SGP039594	SGP039595	SGP039596	SGP039597	SGP039598	SGP039599	SGP039600	SGP039601	SGP039602	SGP039603	SGP039604	SGP039605	SGP039606	SGP039607	SGP039608	SGP039609	SGP039610	SGP039611	SGP039612
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	1165.54	5121.27	2289.29	6136.42	395.024	1778.31	1397.28	4447.03	4429.78	3762.02	544.572	4061.95	1760.85	4746.4	690.113	2786.24	1578.09	322.157	3958.63	409.882	4705.87	427.465	1413.72	1348.69	444.565	2099.69	2149.52	407.134	997.722	3040.12	2864.22	216.233	4392.64	3348.3	2315.62	2769.98	935.456	831.631	3192.66	3284.02	2556.41	2484.96	4845.09	3678.39	267.019	2164.38	2672.37	2333.47	4417.18	1234.44	5121.48	2731.67	4680.99	1284.51	2860.03	3291.98	3798.43	4117.21	2462.66	2814.07	2554.93	3063.48	5859.85	5002.02	3591.12	3540.33	502.117	4046.28	3698.86	6721.17	4762.01	396.791	4233.1	3580.76	4006.58	8381.12	4783.36	2917.63	3999.23	3506.73	6299.23	4852.56	5397.41	1594.75	1232.33	4031.94	3338.37	3371.41	6003.35	4290.75	7493.52	4518.56	4764.08	4569.87	8724.29	4501.66	3304.32	5254.46	4288.96	7562.11	4152.79	3160.99	2213.83	5505.36
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	9669.38	7139.88	9204.82	6528.62	8072.82	7742.36	5744.77	6743.97	6846.6	7833.98	10784.7	7991.67	10444.1	7413.35	3460.23	6664.17	7806.32	9159.06	7355.18	10053.9	7556.08	8425.11	10465.2	10035.3	9209.39	7457.96	9422.29	7315.5	6809.65	6771.15	8132.91	7318.89	7826.09	8561.93	6279.07	8720.27	11223.8	11223.4	10131.6	9901	10203.2	8841.69	7202.39	3026.91	7052.11	8766.59	9694.8	8908.21	5963.45	9703.99	6735.72	9989.11	7665.6	10985.8	9547.58	8003.27	9056.1	8795.35	12673.8	11118.8	11158.3	10029.4	6236.98	7434.49	9033.68	11181.8	7394.72	8162.97	9666.58	4189.76	4977.19	8743.24	8211.19	7681.69	8067.22	3069.57	5874.88	11373	8404.39	8758.94	5222.37	9252.86	9313.85	5933.88	7522.96	5410.32	8835.89	6660.2	2884.41	6175.25	4973.69	8140.88	8931.47	5444.04	4010.06	7260.49	9414.2	6601.88	6845.31	5401.39	7255.24	9887.69	5275.09	6038.87
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	9870.96	7017.06	9599.21	6593.67	8196.19	7549.97	5977.65	6445.12	6428.05	7786.05	11068.9	7889.94	10590.4	7575.73	3128.67	6449.98	7896.18	9096.46	7303.77	10142.9	7393.1	8237.8	10775.8	10393.7	9144.05	7567.76	9587.36	7057.77	6939.77	7087.52	8176.46	7122.07	7858.53	8434.5	6380.76	8841.51	11644.8	11587.4	10201.5	9983.73	10341.6	8866.5	7296.02	3020.94	6782.54	8683.6	9878.31	8827.82	5963.95	9214.42	6767.26	10204.6	7760.56	10920.1	9692.55	8163.92	9152.57	8943.29	13101.1	11418.5	11628.5	10264.5	6107.82	7520.96	9294.54	11674	7180.99	8255.06	9756.85	4008.85	4522.42	8618.04	8167.54	7518.28	8386.45	2781.64	5824.42	11777	8605.34	8873.93	5071.37	9305.12	9375.89	6006.13	7700.03	5032.2	8890.89	6367.79	2625.2	5796.22	4917.09	8073.49	8917.75	5124.99	3921.38	7311.86	9288.46	6592.87	6940.17	5026.48	7501.22	10276.9	4870.68	6080.01
ARO-PWY: chorismate biosynthesis I	10638.2	9907.96	10661.5	10679.2	10491.1	9719.74	5396.55	9225.62	9008.95	10253.6	7382.29	8463.14	11026	10065.9	6941.65	9459.77	10290.9	11126.6	9788.01	11604.9	10140.3	10604.3	12608.3	10874.4	11033.1	8955.46	10598	10386.6	6418.85	9122.88	11245.3	10165.5	10260	10552.7	6498.54	10458	12915.5	11592.5	11515.4	11459.5	11395.2	10530.2	9729.28	5823.74	10625.4	10391.8	11665.6	10368.8	8555.02	10676.1	9996.4	11388.6	10658.6	11229.5	10875.8	9376.94	11234.4	11026.5	12942.1	12136.1	11744.7	11417.8	10127.8	10554	11377.5	11073.8	9742.42	10542.1	11017.4	9636.3	8324.54	10904.9	10667.8	9147.69	10315.8	9484.68	9265.01	11307	11185.6	10690.9	9965.16	10450.1	10742.7	5562.57	8069.96	9061.16	10663.8	8857.5	7949.3	9173.92	10457.8	10783	9698.4	9122	10862.4	10602.8	10190.3	10487	10485.4	10569.6	10332.6	10878.3	8481.23	10737.5
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	3537.58	5896.13	4041.45	6956.79	5925.8	6787.3	5101.81	5956.02	5577.9	5805.38	1430.78	4757.98	3582.68	5476.63	11151.6	6574.26	6298.54	5523.94	4656.84	4817.34	5561.13	6585.79	4206.74	3346.94	5741.89	4985.69	3763.73	7101.23	3126.62	3387.64	3452.45	7248.11	5480.63	4060.39	3258.4	3852.34	3561.15	3421.44	3841.36	3942.19	3366.97	3643.3	3305.62	4729.12	7334.53	3550.51	3531.3	3887.26	5388.78	2968.7	6039.16	3672.42	6057.62	2859.19	3475.27	4188.44	5403.97	5633.53	3428.16	3898.83	3686.85	3533.99	5775.1	5759.83	5449.48	4237.56	6780.64	4566.31	4297.27	5755.89	7429.5	5966.22	4676.99	5975.7	4350.41	9534.83	5217.08	4059.18	5600.05	3911.77	7338.26	4668.12	5569.21	3380.75	3195.22	6950.95	4590.79	7461.06	6394.65	6803.89	8924.82	5026.89	5191.77	7209.89	9899.66	4747.69	4861.97	5349.71	4893.65	8804.08	4481.78	3767.23	8422.17	5518.32
AST-PWY: L-arginine degradation II (AST pathway)	7.75557	2.20007	17.8269	0	16.7239	122.278	2577	5.1428	0	0	323.621	116.997	0	1.82471	449.34	0	4.61137	5.09683	0	17.074	0	4.6747	18.6923	4.24658	2.39545	413.795	7.98823	0	1338	238.012	16.2257	15.9635	1.4546	15.1702	1619.2	14.1236	1.60865	21.1418	5.89778	0	10.2603	9.16593	0	1109.21	0	1.55822	9.24776	4.14719	360.455	24.0155	0	17.9921	0	2.64968	0	105.041	0	0	0	0	0	0	16.2236	0	0	0	10.7739	0	0	94.4225	2.94406	4.16779	0	10.98	0	82.7524	113.696	31.8603	0	0	0	38.1385	0	1418.83	832.178	0	14.4009	0	893.458	0	3.32215	0	15.7866	0	0	8.83567	0	0	0	47.09	34.4721	0	0	0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	1705.71	3244.91	1300.37	2496.1	1186.45	1475.77	3855.57	4308.88	4211.31	3729.2	1420.05	2546.84	941.157	3611.59	1633.88	1962.53	744.35	619.874	2769.2	1027.91	3832.7	506.361	865.362	2129.46	619.691	2888.36	2037.13	261.969	2945.57	3368.89	2379.66	440.505	3640.21	2626.96	3597.4	1636.75	201.408	768.35	1807.02	1686.19	1654.02	2012.7	1630.06	3825.33	214.426	1348.43	1786.41	1871.51	3835.16	2662.15	3180.74	1610.58	2109.34	2066.56	1387.11	2645.43	2085.72	1900.91	464.178	455.785	657.337	1812.63	1819.75	1837.44	1660.48	732.076	1047.91	1572.25	1525.8	2743.82	626.514	607.6	884.135	734.967	1704.01	4545.3	3043.29	877.793	1883.55	1777.15	2879.76	1289.28	1791.15	3476.45	2337.77	639.588	1721.93	402.668	3583.17	921.117	3799.45	1636.3	1735.65	596.434	4196.1	2218.79	770.623	2363.44	2125.47	2442.41	1991.96	524.939	729.142	2388.98
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	9243.2	8201.11	9123.98	9441.83	12577.5	11868.3	7937.59	8422.57	8377.45	8309.21	8709.02	9167.47	9108.13	8108.37	14761.6	10001.4	11328.9	12317.4	7750.1	11858.1	8169.52	13173.1	10240.9	10557.6	11578	7800.52	9156.81	13493.3	8638.53	9203.4	9105.85	13330	8089.32	9011.93	7566.39	9038.91	10852.4	9936.98	9833.76	10033.3	9853.38	8485.99	9169.6	6001.02	13298.9	9567.53	9361.28	9274.48	7011.21	8503.69	7662.09	9833.61	8573.07	8754.15	9396.67	8562.31	8448.1	8752.75	10047	9486.65	9428.98	9828.52	7940.65	9517.08	8844.61	9410.73	13056.8	7963.19	8581.57	6410.66	11052.4	12595.6	7959.52	10082.2	7637.69	6255.31	7276.99	8676.4	8623.35	10561.3	8455.34	9406.33	8802.76	4889.64	6347.73	11526.1	9008.47	12265	8662.86	11352.8	6829.91	7749.78	8748.38	11485.7	5623.3	7459.93	9032.86	8037.79	7421.43	9270.96	7416.99	9354.32	13019.9	8311.77
CALVIN-PWY: Calvin-Benson-Bassham cycle	10191.1	8480.84	8947.89	7180.46	9367.48	10268.9	6572.87	8845.84	8862.99	8870.18	9385.8	7020.21	10312	8414.54	10362.5	9010.25	10158.9	10652.6	8371.19	10136.1	8567.36	10510.3	11822.2	9384.32	10393.2	8342.53	9320.8	10649.4	7275.43	6675.25	8142.72	10240.5	8309.14	8448.78	6717.37	9223	11981.4	10685.8	9026.57	9096.48	9254.85	8639.36	7737.85	7218.87	10844	9175.32	9491.35	9455.99	7419.03	8347.99	7903.12	9258.69	8555.59	9475.52	9429.24	8121.6	9037.07	8454.88	10337.2	10013.9	9911.3	8918.89	8260.29	7759.68	8845.59	9093.67	9318.5	8514.36	8940.5	8119.01	7946.86	10317.4	8988.65	8440.2	7405.35	8442.56	7319.93	8852.12	8986.57	9199.4	7212.74	8887.18	7719.03	6726.32	8667.17	9143.05	8320.67	9303.6	8069.21	8105.52	8195.04	8508.88	7986.7	8660.55	8364.27	8753.98	7922.39	7562.07	7674.81	7274.04	7276.92	9659.58	9446.2	6233.34
CARNMET-PWY: L-carnitine degradation I	2.58679	0	4.08782	0	1.37783	0	182.134	0.705033	0	0	54.8573	29.8812	0	0	180.033	0	1.85482	0	0	1.15377	0	0	4.69661	0	0	108.373	0	0	193.563	76.3209	2.95408	1.94255	0	1.96733	344.424	3.74508	0	0	0	0	3.98006	3.27565	0	151.388	0	0	0	0	0	8.09726	0	3.6658	0	0	0	35.3327	0	0	0	0	0	0	0	0	0	0	0	0	0	17.0998	0	0	0	2.32152	0	18.5236	31.3268	9.50504	0	0	0	2.69927	0	189.763	142.795	0	1.91715	0	75.1036	0	0	0	8.93904	0	0	0	0	0	0	14.9708	1.29535	0	0	0
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate	0	0	0	0	0	0	815.051	0	0	0	89.1392	16.3297	0	0	45.6115	0	0	0	1.75575	0	0	0	0	0	0	0	6.47921	0	551.979	62.7622	6.9658	0	0	0	104.542	4.89413	0	0	0	0	4.61529	3.83613	0	1006.35	0	0	28.8656	27.2199	307.149	0	0	0	0	3.33668	0	11.2775	0	0	0	0	0	0	17.1073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.5937	0	0	0	0	0	210.427	0	0	0	0	484.015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CENTFERM-PWY: pyruvate fermentation to butanoate	681.478	369.993	447.452	417.423	614.281	597.027	3.41141	400.58	361.091	712.271	83.4027	562.519	870.461	342.789	0	168.692	422.932	644.967	488.946	694.365	583.957	484.536	393.652	1125.41	784.918	329.83	1269.23	651.097	34.9671	583.528	488.586	591.543	731.602	540.12	3.21937	504.792	655.664	877.977	1422.53	1397.66	1545.64	716.611	451.78	142.25	469.916	649.601	1613.11	905.996	530.469	887.272	549.68	1582.83	359.47	1020.25	1481.54	520.005	268.213	292.832	600.033	722.554	940.256	1544.94	566.483	223.591	228.585	772.244	537.455	865.663	415.708	31.7349	291.189	663.857	586.302	651.134	791.967	264.845	667.514	803.53	306.221	1158.81	281.121	535.81	479.579	3.82714	623.396	362.941	274.06	853.385	10.5724	628.58	327.457	652.51	627.82	476.466	208.024	531.693	773.222	525.815	583.865	317.815	879.635	857.955	300.833	576.808
CHLOROPHYLL-SYN: 3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)	20.9373	0	10.8677	0	0	0	0	0	0	0	0	11.6683	0	0	0	0	4.3425	4.35149	0	0	0	0	3.7321	15.7771	0	12.5561	0	0	0	0	0	0	0	11.891	0	19.6811	7.51817	0	0	0	0	0	0	0	0	0	12.5505	0	0	0	0	21.7644	0	0	0	5.79806	0	0	0	0	0	0	0	0	0	0	0	8.233	0	0	0	0	0	0	0	35.619	0	0	0	0	0	12.4993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.77013	0	0	0	0
CITRULBIO-PWY: L-citrulline biosynthesis	3191.48	5367.39	3785.93	6518.77	822.645	2075.61	1880.57	4803.92	4567.37	4941.35	802.257	6477.97	3998.28	5221.06	903.273	4641.21	2783.13	967.501	5635.53	1028.49	5482.05	1421.24	3017.61	2825.19	998.463	2996.49	4915.56	1566.56	1415.51	3279.64	5168.12	939.322	5134.49	5287.26	2998.8	4149.03	418.74	298.429	4129.86	4240.95	3737.23	4009.09	3198.51	3105.05	887.446	2453.32	4047.16	1968.7	5902.01	4945.17	6637.03	4580.02	4138.29	2325.02	4272.6	865.85	4166.63	4277.37	3385.57	3776.1	3967.61	3721.62	6125.98	3548.99	3459.47	4332.87	1057.29	3530.3	3519.08	4877.74	3027.01	1071.19	4713.28	3290.87	3240.67	5536.39	4156.88	3465.09	4178.32	4159.92	4450.08	4433.68	5683.28	2144.99	1745.61	3544.23	5181.76	3216.73	3737.49	3750.1	6567.49	5301.35	4821.32	3672.06	5963.62	3821.35	3190.83	3745.72	3839.52	7338.57	3240.53	3018.32	2295.48	3772.05
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	9749.27	9298.35	10171.2	10069	8997.02	7836.59	3000.51	8446.59	8778.11	9960.86	6238.35	8473.94	10059.7	9758.08	2977.96	8638.98	8541.69	9357.36	9463.44	9549.55	10063.3	8831.76	10557	10111.2	9411.12	7366.04	10250.7	8487.45	4074.68	7956.69	10708.6	8116.58	9810.9	9687.49	3704.5	9832.29	10299.6	10533.5	10600.5	10460.4	10708.9	10484.9	9247.5	5702.77	9124.77	9717.66	10121.4	9589.09	7908.93	10402.1	9257.88	9978.82	9269.12	10626.7	10199.1	8808.66	9632.58	9554.41	10045.2	10015.2	9600.66	10639	10107.5	9342.11	9524.09	9847.49	8741.39	10559.8	9789.48	9835.74	9356.95	9106.2	9634.8	10431.5	11706.1	8788.11	9436.35	9907.12	9532.03	9845.35	9249.44	9975.81	10184	4628.74	6302.42	9113.04	9537.94	9213.58	7852.97	9849.2	10079.6	9860.31	9830.46	9705.15	10575.5	10769.3	11146.1	10572.7	11665	10678.9	11418.4	10157	7556.81	11230.6
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	9390.47	8837.41	9698.94	9525.95	9032.91	7596.97	2770.74	8042.53	8488.61	9533.33	6576.11	9001.08	9498.01	9375.68	3103.36	8446.23	8367.34	9137.84	9039.52	9162.42	9687.14	8807.43	9972.98	9889.24	9096.77	6973.4	9679.97	8573.13	5239.56	8460.9	10468.4	8288.33	9402.51	9274.72	4901.68	9508.3	9916.54	10065.9	9976.72	9798.33	10129.8	10049.2	8854.14	5342.3	9421.85	9426.84	9631.2	9091.29	7456.5	9794.19	8717.42	9365.58	9008.68	10104.5	9667.6	8679.45	9146.97	9303.53	9222.98	9248.04	8953.21	10023.6	9605.45	9299.84	9106.14	9124.47	9132.04	10075.2	9124.16	9313.28	9103.56	8992.83	9137.16	9968.7	11232.9	8325.95	9146.77	9137.3	9228.7	9459.26	8893.8	9323.58	9546.99	4479.21	5885.76	8873.63	9460.88	8915.31	7194.65	9511.69	9475.34	9385.89	9215.77	9416.29	10045.3	10369.5	10425.1	10166.9	11277.7	9832.04	10903.7	9587.55	7557.98	10885.9
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I	4666.88	4155.79	2806.94	3079.05	2283.36	2689.19	3242.56	3356.58	3133.98	4302.04	656.428	1005.53	4384.95	4238.05	992.052	3263.71	4367.43	3247.5	4150.27	3207.07	4349.65	2614.03	4675.91	3489.71	3601.2	2857.56	4499.2	2572.81	2171.41	1992.55	2815.39	2300.63	3625.68	3348.01	2482.35	3318.29	6462.29	5422.27	3681.95	3478.39	3744.18	2946.45	3111.03	2937.14	2194.19	5060.44	3274.74	5300.28	3412.79	4191.05	3170.91	2978.71	3513.34	4445.97	3881.72	4698.63	3783.47	3488.32	3448.57	4148.65	3584.98	4037.62	3173.76	3309.03	3374.83	3217.28	1924	2785.62	3903.67	1255.01	2389.5	3085.99	4327.66	2178.18	2149.1	694.624	2163.95	3216.71	4441.36	2705.22	2948.02	3259.34	3215.65	2892.4	4078.17	1710.84	3342.08	1576.22	2176.75	1836.89	2116.04	3708.96	3537.5	1502.65	955.989	2601.49	4122.42	2542.04	2191.29	2188.57	2244.43	3562.65	1727.34	3046.93
